Age,Education Level,Internet Connection,Marital Status,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,Theater Freq,TV Movie Freq,TV Signal,Home Ownership,Female,Male
33,1,2,1,2.5,3,1,0,2,1,1,1,1,1,1,1,2,Own,0,1
47,1,1,1,2.0,2,2,1,1,2,1,1,2,2,2,2,2,Own,0,1
35,2,0,1,2.5,4,2,2,2,1,2,1,2,1,2,3,2,Own,0,1
32,2,0,1,3.5,5,2,2,3,2,2,1,2,1,1,2,2,Own,0,1
32,2,4,1,2.5,4,2,0,1,1,2,1,3,2,3,2,3,Own,0,1
32,3,1,1,2.5,4,2,2,1,2,3,4,1,3,2,2,2,Own,0,1
32,2,1,1,2.0,4,2,0,2,1,2,1,2,1,1,4,2,Rent,0,1
33,3,0,1,2.5,4,2,2,1,2,1,1,2,2,2,2,2,Own,0,1
44,3,0,1,2.5,4,2,2,4,2,4,1,1,2,3,2,2,Own,0,1
39,3,0,0,3.0,3,3,2,3,1,1,1,2,2,2,4,3,Own,0,1
29,3,1,1,1.0,2,1,1,1,2,2,1,3,2,1,4,1,Rent,0,1
41,1,2,1,2.5,4,2,4,4,2,2,1,4,2,2,2,2,Own,0,1
44,1,1,2,0.5,2,1,1,1,2,1,4,1,1,4,4,1,Own,1,0
59,3,1,1,3.5,5,3,2,3,2,2,0,3,2,2,1,2,Own,0,1
45,2,0,1,4.0,5,2,1,7,2,3,1,2,1,1,5,2,Own,0,1
32,2,1,1,2.5,4,2,2,2,3,2,1,3,2,2,2,2,Own,0,1
32,2,1,1,1.0,1,2,1,1,2,3,1,1,1,2,2,3,Rent,0,1
28,3,0,2,1.0,1,1,0,1,2,3,1,2,1,1,2,2,Rent,0,1
28,3,0,2,2.5,3,1,0,1,1,2,1,2,1,1,3,2,Own,0,1
40,4,1,1,3.0,6,2,2,3,2,2,1,2,1,2,2,1,Own,0,1
39,2,1,1,2.5,3,3,1,2,1,2,1,1,3,1,1,3,Own,0,1
28,3,0,1,1.0,1,1,0,1,2,2,1,2,2,2,1,2,Rent,1,0
31,2,5,1,1.0,2,2,1,1,4,1,1,2,2,1,3,2,Rent,0,1
26,3,0,2,1.0,1,0,0,0,2,2,1,3,2,3,2,2,Own,1,0
33,2,2,1,2.0,3,2,0,2,1,2,4,1,3,1,2,2,Own,1,0
28,2,2,2,2.0,4,1,0,2,3,3,1,2,1,2,2,2,Own,0,1
25,2,0,2,1.0,1,1,0,1,2,3,1,2,1,1,3,2,Rent,0,1
29,2,0,1,2.5,4,2,0,4,4,2,1,2,1,1,1,3,Own,0,1
31,2,1,1,2.0,4,2,2,3,1,1,1,2,2,2,2,2,Own,0,1
45,3,2,1,4.0,5,2,2,1,2,3,4,3,2,2,1,2,Own,0,1
42,3,1,1,2.5,4,4,1,2,2,2,1,2,2,1,3,2,Own,0,1
45,1,3,1,2.0,3,2,2,4,4,2,1,4,1,2,4,3,Own,0,1
48,3,2,1,2.5,4,2,2,2,2,2,4,3,2,1,4,3,Own,0,1
33,2,1,1,2.5,3,2,2,4,2,1,1,2,2,1,2,3,Own,0,1
27,5,1,1,2.5,4,2,3,2,2,4,1,2,2,2,5,4,Rent,0,1
35,2,2,2,2.0,3,2,0,2,1,2,1,1,3,2,4,3,Own,0,1
39,2,4,1,3.0,5,4,3,3,2,2,4,2,2,1,2,2,Own,0,1
31,2,1,2,2.5,5,2,0,2,1,2,1,1,1,1,2,3,Own,0,1
28,3,0,1,3.0,3,2,0,1,1,3,1,3,4,1,4,4,Own,0,1
30,3,2,1,2.0,2,1,1,1,2,3,1,2,1,2,1,2,Rent,0,1
29,3,0,1,2.5,3,1,0,2,2,3,1,3,2,1,2,2,Own,1,0
42,2,2,1,3.0,5,2,3,1,2,2,1,3,2,1,5,4,Own,0,1
30,3,0,0,2.0,4,1,0,4,1,1,1,3,2,1,1,3,Own,0,1
28,2,2,1,2.0,2,2,0,4,2,2,1,2,1,1,2,2,Own,0,1
47,1,1,1,2.5,3,1,0,2,2,2,1,3,2,2,1,2,Own,0,1
28,2,0,1,1.5,4,2,2,3,2,1,1,3,2,1,4,1,Own,0,1
32,3,0,1,2.5,3,2,2,2,2,2,1,3,2,1,5,2,Own,0,1
26,3,2,1,1.0,2,1,0,0,2,2,1,1,1,2,1,4,Rent,0,1
31,2,2,1,2.0,3,2,0,2,1,1,1,3,2,1,2,2,Rent,0,1
40,3,1,1,2.0,2,1,0,1,2,3,2,4,3,4,2,2,Own,1,0
27,2,0,1,1.0,2,2,0,2,1,1,1,3,2,1,2,2,Rent,0,1
29,2,1,1,2.5,3,2,1,1,2,2,4,3,2,1,2,2,Own,0,1
31,5,1,4,2.0,3,2,3,1,1,2,1,2,2,1,2,2,Own,0,1
22,3,4,2,1.5,2,1,0,1,2,1,1,3,2,1,2,2,Rent,0,1
32,1,1,2,2.0,2,1,0,1,1,4,1,1,2,2,1,3,Own,0,1
33,3,0,1,1.5,4,2,1,1,1,1,1,3,2,1,5,4,Own,1,0
37,3,1,0,2.5,3,1,3,1,2,2,1,3,2,1,5,2,Own,0,1
29,3,1,1,2.0,3,2,0,1,2,3,1,2,2,1,2,3,Own,0,1
32,2,0,2,1.0,3,1,0,1,2,2,1,2,1,2,5,4,Own,0,1
40,3,2,1,2.5,4,2,4,1,2,2,1,2,2,2,2,2,Own,0,1
41,3,1,1,2.5,3,2,0,2,2,3,1,2,1,1,4,2,Own,1,0
40,2,2,2,2.5,2,1,0,2,3,2,1,2,1,1,4,1,Own,1,0
33,5,1,1,2.5,4,5,0,3,1,2,1,5,4,2,4,3,Own,0,1
23,3,0,1,2.0,2,1,1,1,1,2,1,1,1,2,4,2,Own,0,1
40,2,1,1,3.5,5,5,6,4,2,1,1,2,1,2,5,2,Own,0,1
30,1,1,1,1.5,2,1,0,2,2,1,1,2,2,2,1,2,Rent,0,1
38,2,1,1,2.5,5,2,5,3,2,1,1,3,2,1,2,3,Own,0,1
38,5,0,1,3.0,5,2,4,4,1,1,1,2,2,2,3,2,Own,0,1
33,3,5,1,3.0,3,2,0,3,3,2,1,1,3,1,1,1,Own,0,1
33,3,1,1,2.5,3,2,1,2,4,3,1,3,2,1,4,2,Own,0,1
40,4,1,3,1.0,2,1,0,1,2,2,1,1,1,1,4,1,Rent,0,1
25,3,2,2,1.0,2,1,0,1,2,2,1,3,2,1,5,4,Rent,0,1
33,3,0,1,2.0,2,2,0,1,2,1,1,3,2,1,1,2,Rent,0,1
